Main Category,count,mean,std,min,25%,50%,75%,max
BBFF,1107,13.43631436,15.14171334,0,4,7,18,85
Book,127,14.48818898,16.90912506,0,3.5,8,19,82
Digital Service,116,18.04310345,18.45812758,0,4,11.5,26,86
Electronic,255,11.72156863,14.87364516,0,3,6,13,75
LifeStyle,491,14.21588595,16.26760372,0,3,8,19,84
